Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName
2i rete gas spa,https://permid.org/1-5000936840,2I Rete Gas SpA,92%,Excellent,2i rete gas,https://permid.org/1-5000936840,2I Rete Gas SpA,92%,Excellent,True
a2a spa,https://permid.org/1-5000005309,A2A SpA,92%,Excellent,a2a,https://permid.org/1-5000005309,A2A SpA,92%,Excellent,True
abb finance bv,https://permid.org/1-5000066931,ABB Finance BV,92%,Excellent,abb finance,https://permid.org/1-4296359510,ABB Inc,20%,Possible,False
abertis infraestructuras sa,https://permid.org/1-4295889666,Abertis Infraestructuras SA,92%,Excellent,abertis infraestructuras,https://permid.org/1-4295889666,Abertis Infraestructuras SA,92%,Excellent,True
acea spa,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,acea,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,True
achmea bv,https://permid.org/1-8589934294,Achmea BV,92%,Excellent,achmea,https://permid.org/1-4296540298,Achmea Bank NV,25%,Possible,False
acs actde constry serv sa,,,,No Match,acs actde constry serv,,,,No Match,False
acs servicios comunicaciones y energia sl,https://permid.org/1-4298343692,ACS Servicios Comunicaciones y Energia SL,92%,Excellent,acs servicios comunicaciones y energia,https://permid.org/1-5046720135,"ACS SERVICIOS COMUNICACIONES Y ENERGIA MEXICO, S.A. DE C.V.",59%,Possible,False
adecco intl fin serv bv,https://permid.org/1-4298009523,Adecco International Financial Services BV,92%,Excellent,adecco intl fin serv,https://permid.org/1-4298009523,Adecco International Financial Services BV,92%,Excellent,True
adidas ag,https://permid.org/1-4295868725,Adidas AG,92%,Excellent,adidas,https://permid.org/1-4295868725,Adidas AG,92%,Excellent,True
adler group sa,https://permid.org/1-5046277024,Adler Group SA,92%,Excellent,adler group,https://permid.org/1-5046277024,Adler Group SA,92%,Excellent,True
ado properties sa,https://permid.org/1-5076926658,ADO Properties S.A.,92%,Excellent,ado properties,https://permid.org/1-5076942662,ADO Properties GmbH,92%,Excellent,False
aegon nv,https://permid.org/1-4295884931,Aegon NV,92%,Excellent,aegon,https://permid.org/1-4295884931,Aegon NV,92%,Excellent,True
aeroporti di roma spa,https://permid.org/1-4295875580,Aeroporti di Roma SpA,92%,Excellent,aeroporti di roma,https://permid.org/1-4295875580,Aeroporti di Roma SpA,92%,Excellent,True
aeroports de paris,https://permid.org/1-4295867266,Aeroports de Paris SA,92%,Excellent,aeroports de pari,,,,No Match,False
air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35%,Possible,air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35%,Possible,True
air liquide sa,https://permid.org/1-4295926500,Air Liquide Tunisie SA,72%,Good,air liquide,https://permid.org/1-4295867366,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,92%,Excellent,False
air liquide sa etexplpgcl,,,,No Match,air liquide,https://permid.org/1-4295867366,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,92%,Excellent,False
airbus group finance bv,,,,No Match,airbus group finance,,,,No Match,False
airbus se,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,airbus,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,True
akelius residential property finance bv,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),19%,Possible,akelius residential property finance,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),24%,Possible,True
akzo nobel nv,https://permid.org/1-4295884730,Akzo Nobel NV,92%,Excellent,akzo nobel,https://permid.org/1-4295884730,Akzo Nobel NV,92%,Excellent,True
albemarle new holding gmbh,https://permid.org/1-5053503107,Albemarle New Holding GmbH,92%,Excellent,albemarle new holding,https://permid.org/1-5053503107,Albemarle New Holding GmbH,67%,Good,True
alliander nv,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,alliander,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,True
allianz finance ii bv,https://permid.org/1-4296777983,Allianz Finance II BV,92%,Excellent,allianz finance ii,https://permid.org/1-5043447638,Allianz Finance II Luxembourg SA,54%,Possible,False
alstom sa,https://permid.org/1-4295867565,Alstom SA,92%,Excellent,alstom,https://permid.org/1-4295867565,Alstom SA,92%,Excellent,True
alstria office reit ag,https://permid.org/1-4295870318,alstria office REIT AG,92%,Excellent,alstria office reit,https://permid.org/1-4295870318,alstria office REIT AG,92%,Excellent,True
altarea,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,altarea,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,True
altareit sca,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,altareit,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,True
amadeus capital markets sau,https://permid.org/1-5035391193,Amadeus Capital Markets SA,92%,Excellent,amadeus capital markets,https://permid.org/1-5035391193,Amadeus Capital Markets SA,77%,Good,True
amadeus it group sa,https://permid.org/1-5000724903,Amadeus IT Group SA,92%,Excellent,amadeus it group,https://permid.org/1-5000724903,Amadeus IT Group SA,92%,Excellent,True
amphenol technologies holding gmbh,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,92%,Excellent,amphenol technologies holding,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,67%,Good,True
anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True
anheuser busch inbev nv,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,84%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True
anheuser busch inbev nvsa,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,67%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True
anheuser busch inbev sanv,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,68%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True
apetra nv,https://permid.org/1-4298251365,Apetra NV,92%,Excellent,apetra,https://permid.org/1-4298251365,Apetra NV,92%,Excellent,True
aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,True
aprr sa,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,True
arcelormittal sa,https://permid.org/1-5000030092,ArcelorMittal SA,92%,Excellent,arcelormittal,https://permid.org/1-5000030092,ArcelorMittal SA,92%,Excellent,True
arkema sa,https://permid.org/1-4295867361,Arkema SA,92%,Excellent,arkema,https://permid.org/1-4295867361,Arkema SA,92%,Excellent,True
aroundtown sa,https://permid.org/1-5057820156,Aroundtown SA,92%,Excellent,aroundtown,https://permid.org/1-5057820156,Aroundtown SA,92%,Excellent,True
asml holding nv,https://permid.org/1-4295884869,ASML Holding NV,92%,Excellent,asml holding,https://permid.org/1-4295884869,ASML Holding NV,92%,Excellent,True
assicurazioni generali spa,https://permid.org/1-4295875714,Assicurazioni Generali SpA,92%,Excellent,assicurazioni generali,https://permid.org/1-4295875714,Assicurazioni Generali SpA,92%,Excellent,True
atf netherlands bv,https://permid.org/1-5052144618,ATF Netherlands BV,92%,Excellent,atf netherlands,https://permid.org/1-5052144618,ATF Netherlands BV,92%,Excellent,True
atlantia spa,https://permid.org/1-4295875318,Atlantia SpA,92%,Excellent,atlantia,https://permid.org/1-4295875318,Atlantia SpA,92%,Excellent,True
atlas copco finance dac,https://permid.org/1-5061192967,Atlas Copco Finance Dac,92%,Excellent,atlas copco finance,https://permid.org/1-4298313843,Epiroc Financial Solutions AB,22%,Possible,False
atos se,https://permid.org/1-4295867015,Atos SE,92%,Excellent,atos,https://permid.org/1-4295867015,Atos SE,92%,Excellent,True
auchan holding sa,,,,No Match,auchan holding,https://permid.org/1-5024332092,Auchan II Holding UK Ltd,13%,Possible,False
autoroutes du sud de la france,https://permid.org/1-4295867620,Autoroutes du Sud de la France SA,83%,Good,autoroutes du sud de la france,https://permid.org/1-4295867620,Autoroutes du Sud de la France SA,83%,Good,True
autostr bresvervicpad spa,,,,No Match,autostr bresvervicpad,,,,No Match,False
autostrada brescia verona vicenza padova spa,https://permid.org/1-4296668015,A4 Holding SpA,92%,Excellent,autostrada brescia verona vicenza padova,https://permid.org/1-4296668015,A4 Holding SpA,82%,Good,True
autostrade per l italia spa,https://permid.org/1-5000025561,Autostrade per l'Italia SpA,17%,Possible,autostrade per l italia,,,,No Match,False
autostrade per litalia spa,https://permid.org/1-5000025561,Autostrade per l'Italia SpA,92%,Excellent,autostrade per litalia,https://permid.org/1-5000025561,Autostrade per l'Italia SpA,92%,Excellent,True
axa sa,https://permid.org/1-4295867483,AXA SA,92%,Excellent,axa,https://permid.org/1-4295867483,AXA SA,92%,Excellent,True
balder finland oyj,https://permid.org/1-5074787774,Balder Finland Oyj,92%,Excellent,balder finland,https://permid.org/1-5074787774,Balder Finland Oyj,92%,Excellent,True
barry callebaut services nv,https://permid.org/1-4297241934,Barry Callebaut Services NV,92%,Excellent,barry callebaut service,https://permid.org/1-5063146718,Barry Callebaut Cocoa Management Services SA de CV,43%,Possible,False
basf finance europe nv,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,basf finance europe,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,True
basf se,https://permid.org/1-4295869198,BASF SE,92%,Excellent,basf,https://permid.org/1-4295869198,BASF SE,43%,Possible,True
bat netherlands finance bv,https://permid.org/1-5042933956,BAT Netherlands Finance BV,92%,Excellent,bat netherlands finance,https://permid.org/1-5042933956,BAT Netherlands Finance BV,65%,Good,True
bayer ag,https://permid.org/1-4295869217,Bayer AG,92%,Excellent,bayer,https://permid.org/1-4295869217,Bayer AG,92%,Excellent,True
bayer capital corp bv,https://permid.org/1-4296954345,Bayer Capital Corporation BV,92%,Excellent,bayer capital corp,https://permid.org/1-4296432607,Bayer Capital NV,21%,Possible,False
befimmo sa,https://permid.org/1-4295859373,Befimmo SA,92%,Excellent,befimmo,https://permid.org/1-4295859373,Befimmo SA,92%,Excellent,True
beni stabili spa siiq,https://permid.org/1-4295875468,Beni Stabili SpA Societa di Investimento Immobiliare Quotata,92%,Excellent,beni stabili spa siiq,https://permid.org/1-4295875468,Beni Stabili SpA Societa di Investimento Immobiliare Quotata,92%,Excellent,True
bertelsmann se  co kgaa,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,79%,Good,bertelsmann se  co,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,21%,Possible,True
bertelsmann se kgaa,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,63%,Good,bertelsmann se,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,42%,Possible,True
bevco lux sarl,https://permid.org/1-5052148475,Bevco Lux SARL,92%,Excellent,bevco lux,https://permid.org/1-5052148475,Bevco Lux SARL,92%,Excellent,True
bmw finance nv,https://permid.org/1-4298251653,BMW Financial Services Belgium NV,23%,Possible,bmw finance,,,,No Match,False
borealis ag,https://permid.org/1-4298142340,Borealis AG,92%,Excellent,borealis,,,,No Match,False
bouygues,https://permid.org/1-4295867226,Bouygues SA,92%,Excellent,bouygue,,,,No Match,False
bouygues sa,https://permid.org/1-4295867226,Bouygues SA,92%,Excellent,bouygues,https://permid.org/1-4295867226,Bouygues SA,92%,Excellent,True
bp capital markets bv,https://permid.org/1-5076380855,BP Capital Markets BV,92%,Excellent,bp capital markets,https://permid.org/1-5000029986,BP Capital Markets America Inc,36%,Possible,False
bp capital markets plc,https://permid.org/1-4296765192,BP Capital Markets PLC,92%,Excellent,bp capital markets,https://permid.org/1-5000029986,BP Capital Markets America Inc,36%,Possible,False
brenntag finance bv,https://permid.org/1-5035396659,Brenntag Finance BV,92%,Excellent,brenntag finance,https://permid.org/1-5035396659,Brenntag Finance BV,92%,Excellent,True
brisa concessao rodoviaria,https://permid.org/1-5001421091,Brisa Concessao Rodoviaria SA,83%,Good,brisa concessao rodoviaria,https://permid.org/1-5001421091,Brisa Concessao Rodoviaria SA,83%,Good,True
brussels airport company sanv,https://permid.org/1-5000877078,Brussels Airport,12%,Possible,brussels airport company,https://permid.org/1-4297650390,Brussels Airport Company NV,92%,Excellent,False
bunge finance europe bv,https://permid.org/1-5000214282,Bunge Finance Europe BV,92%,Excellent,bunge finance europe,https://permid.org/1-5000214282,Bunge Finance Europe BV,60%,Good,True
buzzi unicem spa,https://permid.org/1-4295875751,Buzzi Unicem SpA,92%,Excellent,buzzi unicem,https://permid.org/1-4295875751,Buzzi Unicem SpA,92%,Excellent,True
ca immobilien anlagen ag,https://permid.org/1-4295858951,CA Immobilien Anlagen AG,92%,Excellent,ca immobilien anlagen,https://permid.org/1-4295858951,CA Immobilien Anlagen AG,92%,Excellent,True
cap gemini,https://permid.org/1-4297695613,Sogeti SAS,92%,Excellent,cap gemini,https://permid.org/1-4297695613,Sogeti SAS,92%,Excellent,True
carmila,https://permid.org/1-4297628655,Carmila SA,55%,Possible,carmila,https://permid.org/1-4297628655,Carmila SA,55%,Possible,True
carrefour sa,https://permid.org/1-4295866751,Carrefour SA,92%,Excellent,carrefour,https://permid.org/1-4295866751,Carrefour SA,92%,Excellent,True
caterpillar intl finance ltd,,,,No Match,caterpillar intl finance,https://permid.org/1-4296547049,Caterpillar International Finance DAC,92%,Excellent,False
ceetrus sa,https://permid.org/1-5057945093,Ceetrus Finance SA,49%,Possible,ceetrus,https://permid.org/1-5057945093,Ceetrus Finance SA,33%,Possible,True
cellnex finance company sau,,,,No Match,cellnex finance company,https://permid.org/1-5079192042,Cellnex Finance Company SA,92%,Excellent,False
cellnex telecom sa,https://permid.org/1-5043416261,Cellnex Telecom SA,92%,Excellent,cellnex telecom,https://permid.org/1-5043416261,Cellnex Telecom SA,92%,Excellent,True
cepsa finance saflds,,,,No Match,cepsa finance safld,,,,No Match,False
ciba spc chem fin lxbg sa,,,,No Match,ciba spc chem fin lxbg,,,,No Match,False
citycon oyj,https://permid.org/1-4295866323,Citycon Oyj,92%,Excellent,citycon,https://permid.org/1-4295866323,Citycon Oyj,92%,Excellent,True
citycon treasury bv,https://permid.org/1-5044006655,Citycon Treasury BV,92%,Excellent,citycon treasury,https://permid.org/1-5044006655,Citycon Treasury BV,92%,Excellent,True
ck hutchison grp telefin sa,,,,No Match,ck hutchison grp telefin,,,,No Match,False
cnh industrial finance eurosa,,,,No Match,cnh industrial finance euro,,,,No Match,False
coca cola hbc finance bv,https://permid.org/1-4296869348,Coca Cola HBC Finance BV,92%,Excellent,coca cola hbc finance,https://permid.org/1-5000022650,Coca-Cola HBC Finance PLC,92%,Excellent,False
coentreprise de transport delectricite,https://permid.org/1-5056398725,Coentreprise De Transport d'electricite SA,92%,Excellent,coentreprise de transport delectricite,https://permid.org/1-5056398725,Coentreprise De Transport d'electricite SA,92%,Excellent,True
cofinimmo nv,https://permid.org/1-4296918546,Cofinimmo Lease Finance SA,36%,Possible,cofinimmo,https://permid.org/1-4295859240,Cofinimmo SA,92%,Excellent,False
cofinimmo sanv,https://permid.org/1-4295859240,Cofinimmo SA,92%,Excellent,cofinimmo,https://permid.org/1-4295859240,Cofinimmo SA,92%,Excellent,True
compagnie de saint gobain sa,https://permid.org/1-4295867362,Compagnie de Saint Gobain SA,92%,Excellent,compagnie de saint gobain,https://permid.org/1-4295867362,Compagnie de Saint Gobain SA,92%,Excellent,True
compagnie fin ind autoroutes,,,,No Match,compagnie fin ind autoroute,,,,No Match,False
compagnie generale des etablissements michelin clermont ferrand,https://permid.org/1-4295867411,Compagnie Generale des Etablissements Michelin SCA,18%,Possible,compagnie generale des etablissements michelin clermont ferrand,https://permid.org/1-4295867411,Compagnie Generale des Etablissements Michelin SCA,18%,Possible,True
compass group finance netherlands bv,https://permid.org/1-5064650117,Compass Group Finance Netherlands BV,92%,Excellent,compass group finance netherlands,https://permid.org/1-5064650117,Compass Group Finance Netherlands BV,73%,Good,True
compass group international bv,https://permid.org/1-5068304965,Compass Group International 10 BV,59%,Possible,compass group international,https://permid.org/1-5068304965,Compass Group International 10 BV,55%,Possible,True
conti gummi finance bv,https://permid.org/1-4296561684,Conti Gummi Finance BV,92%,Excellent,conti gummi finance,https://permid.org/1-4296561684,Conti Gummi Finance BV,92%,Excellent,True
continental ag,https://permid.org/1-4295869236,Continental AG,92%,Excellent,continental,https://permid.org/1-4295869236,Continental AG,59%,Possible,True
corporacion de reservas estrategicas de productos petroliferos,https://permid.org/1-4295966650,Corporacion de Reservas Estrategicas de Productos Petroliferos,92%,Excellent,corporacion de reservas estrategicas de productos petrolifero,https://permid.org/1-4295966650,Corporacion de Reservas Estrategicas de Productos Petroliferos,45%,Possible,True
covestro ag,https://permid.org/1-5046707555,Covestro AG,92%,Excellent,covestro,https://permid.org/1-5046707555,Covestro AG,92%,Excellent,True
covivio hotels saca,,,,No Match,covivio hotels saca,,,,No Match,False
covivio sa,https://permid.org/1-4295867087,Covivio SA,92%,Excellent,covivio,https://permid.org/1-4295867087,Covivio SA,92%,Excellent,True
cp comboios de portugal epe,https://permid.org/1-4295886858,CP Comboios de Portugal EPE,92%,Excellent,cp comboios de portugal epe,https://permid.org/1-4295886858,CP Comboios de Portugal EPE,92%,Excellent,True
cpi property group sa,https://permid.org/1-5000002458,CPI Property Group SA,92%,Excellent,cpi property group,https://permid.org/1-5000002458,CPI Property Group SA,72%,Good,True
crh finance dac,https://permid.org/1-5052139913,CRH Finance DAC,92%,Excellent,crh finance,,,,No Match,False
crh finland services oyj,https://permid.org/1-5040186325,CRH Finland Services Oyj,92%,Excellent,crh finland services,https://permid.org/1-5040186325,CRH Finland Services Oyj,61%,Good,True
crh funding bv,https://permid.org/1-5040185854,CRH Funding BV,92%,Excellent,crh funding,https://permid.org/1-4297743209,CRH Group Funding Ltd,13%,Possible,False
crh smw finance dac,https://permid.org/1-5074210015,CRH SMW Finance DAC,92%,Excellent,crh smw finance,https://permid.org/1-5074210015,CRH SMW Finance DAC,92%,Excellent,True
ctp bv,,,,No Match,ctp,,,,No Match,False
czech gas networks investments sarl,https://permid.org/1-5068928626,Czech Gas Networks Investments SARL,92%,Excellent,czech gas networks investments,https://permid.org/1-5068928626,Czech Gas Networks Investments SARL,46%,Possible,True
daa finance plc,https://permid.org/1-4296837653,Daa Finance PLC,92%,Excellent,daa finance,https://permid.org/1-4296837653,Daa Finance PLC,92%,Excellent,True
daimler ag,https://permid.org/1-4295869694,Daimler AG,92%,Excellent,daimler,https://permid.org/1-4295869694,Daimler AG,92%,Excellent,True
daimler intl finance bv,https://permid.org/1-4296434224,Daimler Benz International Finance BV,41%,Possible,daimler intl finance,https://permid.org/1-4296434224,Daimler Benz International Finance BV,11%,Possible,True
danone,https://permid.org/1-4295867387,Danone SA,92%,Excellent,danone,https://permid.org/1-4295867387,Danone SA,92%,Excellent,True
dassault systemes,https://permid.org/1-4295867357,Dassault Systemes SE,92%,Excellent,dassault systeme,https://permid.org/1-5035936753,Dassault Systemes SolidWorks Corp,92%,Excellent,False
delhaize group,,,,No Match,delhaize group,,,,No Match,False
delhaize group sa,,,,No Match,delhaize group,,,,No Match,False
delta lloyd nv,https://permid.org/1-4297753012,Banque Nagelmackers NV,67%,Good,delta lloyd,,,,No Match,False
deutsche bahn finance bv,https://permid.org/1-4296558761,Deutsche Bahn Finance BV,92%,Excellent,deutsche bahn finance,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83%,Good,False
deutsche bahn finance gmbh,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,92%,Excellent,deutsche bahn finance,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83%,Good,True
deutsche borse ag,https://permid.org/1-4296690429,Deutsche Boerse Systems AG,65%,Good,deutsche borse,https://permid.org/1-5000775305,Deutsche Boerse Services sro,71%,Good,False
deutsche lufthansa ag,https://permid.org/1-4295868979,Deutsche Lufthansa AG,92%,Excellent,deutsche lufthansa,https://permid.org/1-4295868979,Deutsche Lufthansa AG,66%,Good,True
deutsche post ag,https://permid.org/1-4295869983,Deutsche Post AG,92%,Excellent,deutsche post,https://permid.org/1-4295869983,Deutsche Post AG,92%,Excellent,True
deutsche post finance bv,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,deutsche post finance,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,True
deutsche telekom ag,https://permid.org/1-4295870332,Deutsche Telekom AG,92%,Excellent,deutsche telekom,https://permid.org/1-4295870332,Deutsche Telekom AG,92%,Excellent,True
deutsche telekom intl finbv,,,,No Match,deutsche telekom intl fin,https://permid.org/1-4296543170,Deutsche Telekom International Finance BV,70%,Good,False
deutsche wohnen ag,,,,No Match,deutsche wohnen,https://permid.org/1-5062386053,Deutsche Wohnen SE,92%,Excellent,False
diageo capital bv,https://permid.org/1-5076372727,Diageo Capital BV,92%,Excellent,diageo capital,https://permid.org/1-4296543161,Diageo Capital PLC,92%,Excellent,False
digital dutch finco bv,https://permid.org/1-5071570642,Digital Dutch Finco BV,92%,Excellent,digital dutch finco,https://permid.org/1-5071570642,Digital Dutch Finco BV,67%,Good,True
digital intrepid holding bv,https://permid.org/1-5073639223,Digital Intrepid Holding BV,92%,Excellent,digital intrepid holding,https://permid.org/1-5073639223,Digital Intrepid Holding BV,64%,Good,True
distribuidora intl de alimsa,,,,No Match,distribuidora intl de alim,,,,No Match,False
dna oyj,https://permid.org/1-4298361219,DNA Oyj,92%,Excellent,dna,,,,No Match,False
dsv panalpina finance bv,https://permid.org/1-5079903944,DSV Panalpina Finance BV,92%,Excellent,dsv panalpina finance,https://permid.org/1-5079903944,DSV Panalpina Finance BV,69%,Good,True
eandis,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,eandi,,,,No Match,False
eandis cvba,,,,No Match,eandis,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,False
easyjet finco bv,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,easyjet finco,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,True
eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92%,Excellent,eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92%,Excellent,True
edenred sa,https://permid.org/1-5000759495,Edenred SA,92%,Excellent,edenred,https://permid.org/1-5000759495,Edenred SA,92%,Excellent,True
edison spa,https://permid.org/1-4295875687,Edison SpA,92%,Excellent,edison,https://permid.org/1-4295903910,Edison International,23%,Possible,False
edp energias de portugal sa,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92%,Excellent,edp energias de portugal,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92%,Excellent,True
edp finance bv,https://permid.org/1-4297963439,EDP Finance BV,92%,Excellent,edp finance,https://permid.org/1-4297963439,EDP Finance BV,92%,Excellent,True
eesti energia as,https://permid.org/1-4296466265,Eesti Energia AS,92%,Excellent,eesti energia,https://permid.org/1-4296466265,Eesti Energia AS,92%,Excellent,True
el corte ingle sa,,,,No Match,el corte ingle,,,,No Match,False
