Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName
electricite de france edf,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,electricite de france edf,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,True
elering as,https://permid.org/1-4298221301,Elering AS,92%,Excellent,elering,https://permid.org/1-4298221301,Elering AS,92%,Excellent,True
elia group sa,https://permid.org/1-4295859541,Elia Group SA,92%,Excellent,elia group,https://permid.org/1-4295859541,Elia Group SA,92%,Excellent,True
elia system operator nv,,,,No Match,elia system operator,https://permid.org/1-4297577357,Elia,92%,Excellent,False
elia system operator sanv,,,,No Match,elia system operator,https://permid.org/1-4297577357,Elia,92%,Excellent,False
elia transmission belgium,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74%,Good,elia transmission belgium,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74%,Good,True
elisa oyj,https://permid.org/1-5000040066,Elisa Oyj,92%,Excellent,elisa,https://permid.org/1-5000040066,Elisa Oyj,92%,Excellent,True
enagas financiaciones sau,https://permid.org/1-5037846601,Enagas Financiaciones SAU,92%,Excellent,enagas financiaciones,https://permid.org/1-5037846601,Enagas Financiaciones SAU,80%,Good,True
enbw international finance bv,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,enbw international finance,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,True
enel finance intl nv,https://permid.org/1-5001426741,ENEL Finance International NV,92%,Excellent,enel finance intl,https://permid.org/1-5001426741,ENEL Finance International NV,69%,Good,True
enel spa,https://permid.org/1-4295875798,Enel SpA,92%,Excellent,enel,https://permid.org/1-4295875798,Enel SpA,92%,Excellent,True
energie ag oberosterreich,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12%,Possible,energie ag oberosterreich,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12%,Possible,True
enexis holding nv,https://permid.org/1-4298484226,Enexis Holding NV,92%,Excellent,enexis holding,https://permid.org/1-4298484226,Enexis Holding NV,92%,Excellent,True
engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,True
engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,True
engie sa,https://permid.org/1-4295866806,Engie SA,92%,Excellent,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,True
eni finance international sa,https://permid.org/1-4296715124,Eni Finance International SA,92%,Excellent,eni finance international,https://permid.org/1-4296715124,Eni Finance International SA,92%,Excellent,True
eni spa,https://permid.org/1-4295875633,Eni SpA,92%,Excellent,eni,https://permid.org/1-4295875633,Eni SpA,92%,Excellent,True
enodia scrl,https://permid.org/1-4297881749,Enodia SCRL,92%,Excellent,enodia,https://permid.org/1-5060518123,Enodia Holding Srl,33%,Possible,False
eon intl finance bv,,,,No Match,eon intl finance,,,,No Match,False
eon se,,,,No Match,eon,,,,No Match,False
erdol lagergesellschaft mbh,https://permid.org/1-5079546902,Erdol-Lagergesellschaft mbH,92%,Excellent,erdol lagergesellschaft,https://permid.org/1-5079546902,Erdol-Lagergesellschaft mbH,73%,Good,True
erg spa,https://permid.org/1-4295875564,ERG SpA,92%,Excellent,erg,https://permid.org/1-4295875564,ERG SpA,92%,Excellent,True
esb finance dac,https://permid.org/1-5000653057,ESB Finance DAC,92%,Excellent,esb finance,https://permid.org/1-5044197201,ESB Financial Enterprises Ltd,92%,Excellent,False
esselunga spa,https://permid.org/1-4297965300,Esselunga SpA,92%,Excellent,esselunga,https://permid.org/1-4297965300,Esselunga SpA,92%,Excellent,True
essilor international,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,essilor international,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,True
essilorluxottica sa,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,essilorluxottica,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,True
eurofins scientific se,https://permid.org/1-5037433929,Eurofins Scientific SE,92%,Excellent,eurofins scientific,https://permid.org/1-5037433929,Eurofins Scientific SE,92%,Excellent,True
eurogrid gmbh,https://permid.org/1-5001234109,Eurogrid GmbH,92%,Excellent,eurogrid,https://permid.org/1-5001234109,Eurogrid GmbH,92%,Excellent,True
euronext nv,https://permid.org/1-5042958012,Euronext NV,92%,Excellent,euronext,https://permid.org/1-5042958012,Euronext NV,92%,Excellent,True
eustream as,https://permid.org/1-4298244950,Eustream as,92%,Excellent,eustream,https://permid.org/1-4298244950,Eustream as,92%,Excellent,True
eutelsat sa,https://permid.org/1-4295866983,Eutelsat Communications SA,51%,Possible,eutelsat,https://permid.org/1-4295866983,Eutelsat Communications SA,38%,Possible,True
evn ag,https://permid.org/1-4295859045,EVN AG,92%,Excellent,evn,https://permid.org/1-4295859045,EVN AG,92%,Excellent,True
evonik finance bv,https://permid.org/1-5036394213,Evonik Finance BV,92%,Excellent,evonik finance,https://permid.org/1-5036394213,Evonik Finance BV,92%,Excellent,True
evonik industries ag,https://permid.org/1-5000074393,Evonik Industries AG,92%,Excellent,evonik industries,https://permid.org/1-5000074393,Evonik Industries AG,92%,Excellent,True
ewe ag,https://permid.org/1-4295869127,EWE AG,92%,Excellent,ewe,https://permid.org/1-4295869127,EWE AG,92%,Excellent,True
exor nv,https://permid.org/1-5052536757,Exor NV,92%,Excellent,exor,https://permid.org/1-5052536757,Exor NV,19%,Possible,True
ferrovial emisiones sa,https://permid.org/1-5038048731,Ferrovial Emisiones SA,92%,Excellent,ferrovial emisiones,https://permid.org/1-5038048731,Ferrovial Emisiones SA,78%,Good,True
ferrovie dello stato italiane spa,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,92%,Excellent,ferrovie dello stato italiane,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,92%,Excellent,True
ferrovie dello stato italspa,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,40%,Possible,ferrovie dello stato ital,https://permid.org/1-4295963223,Ferrovie dello Stato Italiane SpA,63%,Good,True
fiat chrysler automobiles nv,https://permid.org/1-5048857469,Fiat Chrysler Automobiles NV,92%,Excellent,fiat chrysler automobile,,,,No Match,False
fingrid oyj,https://permid.org/1-4296543266,Fingrid Oyj,92%,Excellent,fingrid,https://permid.org/1-4296543266,Fingrid Oyj,92%,Excellent,True
firmenich productions participations sas,https://permid.org/1-5055442099,Firmenich Productions Participations SAS,92%,Excellent,firmenich productions participations,https://permid.org/1-5055442099,Firmenich Productions Participations SAS,73%,Good,True
fluvius system operator cvba,https://permid.org/1-4297633980,Fluvius System Operator CVBA,92%,Excellent,fluvius system operator,https://permid.org/1-4297633980,Fluvius System Operator CVBA,45%,Possible,True
fonciere des regions,https://permid.org/1-5035902891,Fonciere des Regions Developpement SAS,57%,Possible,fonciere des region,,,,No Match,False
fonciere des regions sa,https://permid.org/1-5061332739,Fonciere des Regions SA,92%,Excellent,fonciere des regions,https://permid.org/1-5035902891,Fonciere des Regions Developpement SAS,57%,Possible,False
fortum oyj,https://permid.org/1-4295866494,Fortum Oyj,92%,Excellent,fortum,https://permid.org/1-4295866494,Fortum Oyj,92%,Excellent,True
fresenius finance ireland plc,https://permid.org/1-5059049446,Fresenius Finance Ireland II PLC,78%,Good,fresenius finance ireland,https://permid.org/1-5059049446,Fresenius Finance Ireland II PLC,37%,Possible,True
fresenius medical care ag  co kgaa,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,83%,Good,fresenius medical care ag  co,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,82%,Good,True
fresenius medical care ag and co kgaa,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,92%,Excellent,fresenius medical care ag and co,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,77%,Good,True
fresenius se  co kgaa,https://permid.org/1-5001439044,Fresenius SE & Co KGaA,78%,Good,fresenius se  co,https://permid.org/1-5001439044,Fresenius SE & Co KGaA,73%,Good,True
gas natural cm sa,,,,No Match,gas natural cm,,,,No Match,False
gas natural fenosa finance bv,https://permid.org/1-4296948055,Naturgy Finance BV,92%,Excellent,gas natural fenosa finance,https://permid.org/1-4296948055,Naturgy Finance BV,71%,Good,True
gas networks ireland,https://permid.org/1-5046712558,Gas Networks Ireland,92%,Excellent,gas networks ireland,https://permid.org/1-5046712558,Gas Networks Ireland,92%,Excellent,True
geberit international bv,https://permid.org/1-5000054357,Geberit International BV,92%,Excellent,geberit international,https://permid.org/1-4295890739,Geberit AG,66%,Good,False
gecina,https://permid.org/1-4295867555,Gecina SA,92%,Excellent,gecina,https://permid.org/1-4295867555,Gecina SA,92%,Excellent,True
gie engie alliance,,,,No Match,gie engie alliance,,,,No Match,False
givaudan finance europe bv,https://permid.org/1-5073623848,Givaudan Finance Europe BV,92%,Excellent,givaudan finance europe,https://permid.org/1-5073623848,Givaudan Finance Europe BV,66%,Good,True
glencore capital finance dac,https://permid.org/1-5076169227,Glencore Capital Finance DAC,92%,Excellent,glencore capital finance,https://permid.org/1-5076169227,Glencore Capital Finance DAC,52%,Possible,True
glencore finance europe sa,https://permid.org/1-4295882975,Glencore Finance Europe SA,92%,Excellent,glencore finance europe,https://permid.org/1-5057819876,Glencore Finance (Europe) Ltd,74%,Good,False
global switch finance bv,https://permid.org/1-5076948433,Global Switch Finance BV,92%,Excellent,global switch finance,https://permid.org/1-5076948433,Global Switch Finance BV,59%,Possible,True
grand city properties sa,https://permid.org/1-5037587520,Grand City Properties SA,92%,Excellent,grand city properties,https://permid.org/1-5037587520,Grand City Properties SA,92%,Excellent,True
groupe bruxelles lambert sa,https://permid.org/1-5066557287,Groupe Bruxelles Lambert SA,92%,Excellent,groupe bruxelles lambert,https://permid.org/1-4295859531,Groep Brussel Lambert NV,92%,Excellent,False
hannover re,https://permid.org/1-4295869315,Hannover Rueck SE,92%,Excellent,hannover re,https://permid.org/1-4295869315,Hannover Rueck SE,92%,Excellent,True
hannover rueck se,https://permid.org/1-4295869315,Hannover Rueck SE,92%,Excellent,hannover rueck,https://permid.org/1-4295869315,Hannover Rueck SE,92%,Excellent,True
heidelbergcement ag,https://permid.org/1-4295868961,HeidelbergCement AG,92%,Excellent,heidelbergcement,https://permid.org/1-4295868961,HeidelbergCement AG,75%,Good,True
heidelbergcement finlux sa,,,,No Match,heidelbergcement finlux,,,,No Match,False
heimstaden bostad treasury bv,https://permid.org/1-5076386265,Heimstaden Bostad Treasury BV,92%,Excellent,heimstaden bostad treasury,https://permid.org/1-5076386265,Heimstaden Bostad Treasury BV,79%,Good,True
heineken nv,https://permid.org/1-4295884692,Heineken NV,92%,Excellent,heineken,https://permid.org/1-4295884692,Heineken NV,92%,Excellent,True
hella finance international bv,https://permid.org/1-5055943325,Hella Finance International BV,92%,Excellent,hella finance international,https://permid.org/1-5055943325,Hella Finance International BV,71%,Good,True
hella gmbh  co kgaa,https://permid.org/1-4298169984,HELLA GmbH & Co KGaA,76%,Good,hella gmbh  co,https://permid.org/1-4298169984,HELLA GmbH & Co KGaA,23%,Possible,True
hella kgaa hueck,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,92%,Excellent,hella kgaa hueck,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,92%,Excellent,True
hella kgaa hueck  co,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,80%,Good,hella kgaa hueck  co,https://permid.org/1-5037142580,HELLA KGaA Hueck & Co,80%,Good,True
hemso treasury oyj,https://permid.org/1-5079156209,Hemso Treasury Oyj,92%,Excellent,hemso treasury,https://permid.org/1-5079156209,Hemso Treasury Oyj,92%,Excellent,True
henkel ag  co kgaa,https://permid.org/1-4295869260,Henkel AG & Co KgaA,75%,Good,henkel ag  co,https://permid.org/1-4295869260,Henkel AG & Co KgaA,66%,Good,True
henkel ag kgaa,https://permid.org/1-4295869260,Henkel AG & Co KgaA,70%,Good,henkel ag,https://permid.org/1-4295869260,Henkel AG & Co KgaA,92%,Excellent,True
hera spa,https://permid.org/1-4295875817,Hera SpA,92%,Excellent,hera,https://permid.org/1-4295875817,Hera SpA,92%,Excellent,True
hm finance bv,,,,No Match,hm finance,https://permid.org/1-5074659578,H M Finance,92%,Excellent,False
hochtief ag,https://permid.org/1-4295869084,Hochtief AG,92%,Excellent,hochtief,https://permid.org/1-4295869084,Hochtief AG,92%,Excellent,True
holcim finance luxembg sa,,,,No Match,holcim finance luxembg,,,,No Match,False
holcim finance sa,https://permid.org/1-4296045812,Holcim Finance Luxembourg SA,50%,Possible,holcim finance,https://permid.org/1-4296045812,Holcim Finance Luxembourg SA,37%,Possible,True
holcim usfinsarl  cie scs,,,,No Match,holcim usfinsarl  cie,,,,No Match,False
holcim usfinsarl scs,,,,No Match,holcim usfinsarl,,,,No Match,False
holding d infrastructures de transport,,,,No Match,holding d infrastructures de transport,,,,No Match,False
holding d infrastructures de transport sas,,,,No Match,holding d infrastructures de transport,,,,No Match,False
holding dinfrastr de transp,,,,No Match,holding dinfrastr de tran,,,,No Match,False
holding dinfrastructure,https://permid.org/1-5000919963,Hldg Dinfrastructure De Transport Sas,32%,Possible,holding dinfrastructure,https://permid.org/1-5000919963,Hldg Dinfrastructure De Transport Sas,32%,Possible,True
iberdrola finanzas sau,https://permid.org/1-4297231408,Iberdrola Finanzas SA,92%,Excellent,iberdrola finanzas,https://permid.org/1-4297231408,Iberdrola Finanzas SA,79%,Good,True
iberdrola international bv,https://permid.org/1-5050277472,Iberdrola International Finance BV,53%,Possible,iberdrola international,https://permid.org/1-5050277472,Iberdrola International Finance BV,44%,Possible,True
ignitis grupe uab,https://permid.org/1-5000609627,Ignitis Grupe AB,89%,Good,ignitis grupe uab,https://permid.org/1-5000609627,Ignitis Grupe AB,89%,Good,True
immofinanz ag,https://permid.org/1-4295859001,Immofinanz AG,92%,Excellent,immofinanz,https://permid.org/1-4295859001,Immofinanz AG,92%,Excellent,True
imperial brands finance netherlands bv,https://permid.org/1-5074840315,Imperial Brands Finance Netherlands BV,92%,Excellent,imperial brands finance netherlands,https://permid.org/1-5074840315,Imperial Brands Finance Netherlands BV,74%,Good,True
infineon technologies ag,https://permid.org/1-4295870063,Infineon Technologies AG,92%,Excellent,infineon technologies,https://permid.org/1-4295870063,Infineon Technologies AG,59%,Possible,True
infra park,https://permid.org/1-5050701816,DG Infra+ Park Invest BV,19%,Possible,infra park,https://permid.org/1-5050701816,DG Infra+ Park Invest BV,19%,Possible,True
infrastrutture wireless italiane spa,https://permid.org/1-5045517782,Infrastrutture Wireless Italiane SpA,92%,Excellent,infrastrutture wireless italiane,https://permid.org/1-5045517782,Infrastrutture Wireless Italiane SpA,75%,Good,True
infrax cvba,https://permid.org/1-5037937293,Infrax CVBA,92%,Excellent,infrax,https://permid.org/1-4297695639,Infrax Systems Inc,22%,Possible,False
inmobiliaria colonial,https://permid.org/1-4295889320,Inmobiliaria Colonial SOCIMI SA,92%,Excellent,inmobiliaria colonial,https://permid.org/1-4295889320,Inmobiliaria Colonial SOCIMI SA,92%,Excellent,True
innogy finance bv,https://permid.org/1-4296653814,innogy Finance BV,92%,Excellent,innogy finance,https://permid.org/1-4296653814,innogy Finance BV,92%,Excellent,True
innogy finance ii bv,https://permid.org/1-5048276776,innogy Finance II BV,92%,Excellent,innogy finance ii,https://permid.org/1-5048276776,innogy Finance II BV,66%,Good,True
international consolidated airlines group,https://permid.org/1-5001229906,International Consolidated Airlines Group SA,80%,Good,international consolidated airlines group,https://permid.org/1-5001229906,International Consolidated Airlines Group SA,80%,Good,True
iren spa,https://permid.org/1-4295875719,Iren SpA,92%,Excellent,iren,https://permid.org/1-4295875719,Iren SpA,92%,Excellent,True
iss finance bv,https://permid.org/1-5074640466,ISS Finance BV,92%,Excellent,iss finance,https://permid.org/1-5074640466,ISS Finance BV,92%,Excellent,True
iss finance nb,,,,No Match,iss finance nb,,,,No Match,False
italgas spa,https://permid.org/1-5052167677,Italgas SpA,92%,Excellent,italgas,https://permid.org/1-5052167677,Italgas SpA,92%,Excellent,True
jab holdings bv,https://permid.org/1-5037932504,JAB Holdings BV,92%,Excellent,jab holdings,https://permid.org/1-5043346727,JAB Holding Company SARL,92%,Excellent,False
jcdecaux sa,https://permid.org/1-4295867953,JCDecaux SA,92%,Excellent,jcdecaux,https://permid.org/1-4295867953,JCDecaux SA,92%,Excellent,True
john deere cash management sa,https://permid.org/1-4297058300,John Deere Cash Management SA,92%,Excellent,john deere cash management,https://permid.org/1-4297058300,John Deere Cash Management SA,92%,Excellent,True
kelag karntner elektrizitats aktiengesellschaft,https://permid.org/1-4296717654,Kelag kaerntner Elektrizitaets AG,92%,Excellent,kelag karntner elektrizitats aktiengesellschaft,https://permid.org/1-4296717654,Kelag kaerntner Elektrizitaets AG,92%,Excellent,True
kering sa,https://permid.org/1-4295867170,Kering SA,92%,Excellent,kering,https://permid.org/1-4295867170,Kering SA,92%,Excellent,True
kerry group financial services,https://permid.org/1-4298364799,Kerry Group Financial Services Unlimited Co,26%,Possible,kerry group financial service,https://permid.org/1-4298364799,Kerry Group Financial Services Unlimited Co,26%,Possible,True
kion group ag,https://permid.org/1-5066558455,Kion Group AG,92%,Excellent,kion group,https://permid.org/1-5066558455,Kion Group AG,92%,Excellent,True
klepierre,https://permid.org/1-4295866923,Klepierre SA,92%,Excellent,klepierre,https://permid.org/1-4295866923,Klepierre SA,92%,Excellent,True
knorr bremse ag,https://permid.org/1-4295869167,Knorr Bremse AG,92%,Excellent,knorr bremse,https://permid.org/1-4295869167,Knorr Bremse AG,92%,Excellent,True
kojamo oyj,https://permid.org/1-4296619425,Kojamo Oyj,92%,Excellent,kojamo,https://permid.org/1-4296619425,Kojamo Oyj,92%,Excellent,True
koninklijke ahold delhaize nv,https://permid.org/1-4295884672,Koninklijke Ahold Delhaize NV,92%,Excellent,koninklijke ahold delhaize,https://permid.org/1-4295884672,Koninklijke Ahold Delhaize NV,77%,Good,True
koninklijke dsm nv,https://permid.org/1-4295884728,Koninklijke DSM NV,92%,Excellent,koninklijke dsm,https://permid.org/1-4295884728,Koninklijke DSM NV,92%,Excellent,True
koninklijke kpn nv,https://permid.org/1-4295884844,Koninklijke KPN NV,92%,Excellent,koninklijke kpn,https://permid.org/1-4295884844,Koninklijke KPN NV,62%,Good,True
koninklijke philips nv,https://permid.org/1-4295884721,Koninklijke Philips NV,92%,Excellent,koninklijke philip,,,,No Match,False
ks ag,https://permid.org/1-4295869106,K&S AG,92%,Excellent,ks,https://permid.org/1-4295869106,K&S AG,92%,Excellent,True
ks aktiengesellschaft,https://permid.org/1-4295869106,K&S AG,92%,Excellent,ks aktiengesellschaft,https://permid.org/1-4295869106,K&S AG,92%,Excellent,True
la poste,https://permid.org/1-4297057843,La Poste SA,92%,Excellent,la poste,https://permid.org/1-4297057843,La Poste SA,92%,Excellent,True
lanxess ag,https://permid.org/1-4295870205,Lanxess AG,92%,Excellent,lanxess,https://permid.org/1-4295870205,Lanxess AG,92%,Excellent,True
leg immobilien ag,https://permid.org/1-5038054895,LEG Immobilien SE,92%,Excellent,leg immobilien,https://permid.org/1-5038054895,LEG Immobilien SE,92%,Excellent,True
legrand sa,https://permid.org/1-4295868617,Legrand SA,92%,Excellent,legrand,https://permid.org/1-4295868617,Legrand SA,92%,Excellent,True
leonardo spa,https://permid.org/1-4295875430,Leonardo SpA,92%,Excellent,leonardo,https://permid.org/1-4295875430,Leonardo SpA,92%,Excellent,True
liberty mutual fineurope dac,https://permid.org/1-5055406275,Liberty Mutual Finance Europe DAC,15%,Possible,liberty mutual fineurope,,,,No Match,False
lietuvos energija uab,https://permid.org/1-5069461045,Lietuvos Energija Renewables UAB,45%,Possible,lietuvos energija uab,https://permid.org/1-5069461045,Lietuvos Energija Renewables UAB,45%,Possible,True
linde ag,https://permid.org/1-4296772323,Linde Gas GmbH,51%,Possible,linde,https://permid.org/1-4295903205,Linde Inc,35%,Possible,False
linde finance bv,https://permid.org/1-4296717566,Linde Finance BV,92%,Excellent,linde finance,https://permid.org/1-4298343230,Linde Finance,92%,Excellent,False
linea group holding spa,https://permid.org/1-4297805945,Linea Group Holding SpA,92%,Excellent,linea group holding,https://permid.org/1-4297805945,Linea Group Holding SpA,92%,Excellent,True
lonza finance international nv,https://permid.org/1-5071534681,Lonza Finance International NV,92%,Excellent,lonza finance international,https://permid.org/1-5071534681,Lonza Finance International NV,92%,Excellent,True
lseg netherlands bv,https://permid.org/1-5079710330,LSEG Netherlands BV,92%,Excellent,lseg netherlands,https://permid.org/1-5079710330,LSEG Netherlands BV,92%,Excellent,True
luxottica group spa,https://permid.org/1-4295875513,Luxottica Group SpA,92%,Excellent,luxottica group,https://permid.org/1-4295875513,Luxottica Group SpA,92%,Excellent,True
lvmh moet henn l vuitton se,,,,No Match,lvmh moet henn l vuitton,,,,No Match,False
lyb international finance ii,https://permid.org/1-5050307449,LYB International Finance II BV,92%,Excellent,lyb international finance ii,https://permid.org/1-5050307449,LYB International Finance II BV,92%,Excellent,True
madrilena red de gas fin bv,https://permid.org/1-5040246454,Madrilena Red de Gas Finance BV,92%,Excellent,madrilena red de gas fin,https://permid.org/1-5040246454,Madrilena Red de Gas Finance BV,75%,Good,True
mapfre sa,https://permid.org/1-4295889568,Mapfre SA,92%,Excellent,mapfre,https://permid.org/1-4295889568,Mapfre SA,92%,Excellent,True
mercialys,https://permid.org/1-4295868628,Mercialys SA,92%,Excellent,mercialy,,,,No Match,False
merck financial services gmbh,https://permid.org/1-4298412088,Merck Financial Services GmbH,92%,Excellent,merck financial services,https://permid.org/1-4298412088,Merck Financial Services GmbH,92%,Excellent,True
merlin properties socimi sa,https://permid.org/1-5042243092,MERLIN Properties SOCIMI SA,92%,Excellent,merlin properties socimi,https://permid.org/1-5042243092,MERLIN Properties SOCIMI SA,80%,Good,True
metro ag,https://permid.org/1-4295868692,Ceconomy AG,92%,Excellent,metro,https://permid.org/1-4295860645,Metro Inc,92%,Excellent,False
metro finance bv,https://permid.org/1-4296555329,Metro Finance BV,92%,Excellent,metro finance,,,,No Match,False
metropolitano de lisboa,https://permid.org/1-4296293806,Metropolitano de Lisboa EPE,63%,Good,metropolitano de lisboa,https://permid.org/1-4296293806,Metropolitano de Lisboa EPE,63%,Good,True
metsa board oyj,https://permid.org/1-4295866436,Metsa Board Oyj,92%,Excellent,metsa board,https://permid.org/1-4295866436,Metsa Board Oyj,92%,Excellent,True
metso corp,https://permid.org/1-4295866484,Neles Oyj,92%,Excellent,metso corp,https://permid.org/1-4295866484,Neles Oyj,92%,Excellent,True
metso outotec,https://permid.org/1-4295866538,Metso Outotec Corp,64%,Good,metso outotec,https://permid.org/1-4295866538,Metso Outotec Corp,64%,Good,True
michelin luxembourg scs,https://permid.org/1-5000002567,Michelin Luxembourg SCS,92%,Excellent,michelin luxembourg,https://permid.org/1-5000002567,Michelin Luxembourg SCS,92%,Excellent,True
